state,year,t2m_mean,precip_total_mm
Ladakh,2021,-7.9575000000000005,461.84
Ladakh,2022,-6.770833333333333,485.29
Ladakh,2023,-7.304166666666666,513.61
Ladakh,2024,-6.5,464.68
Arunachal Pradesh,2021,20.830000000000002,2719.37
Arunachal Pradesh,2022,20.383333333333336,3804.43
Arunachal Pradesh,2023,20.71916666666667,2724.09
Arunachal Pradesh,2024,20.745,3201.5400000000004
Sikkim,2021,5.445833333333334,1827.0800000000002
Sikkim,2022,5.438333333333333,1842.9299999999998
Sikkim,2023,5.344166666666666,1690.0000000000002
Sikkim,2024,5.688333333333333,2211.7699999999995
West Bengal,2021,25.918333333333337,1523.5000000000002
West Bengal,2022,25.831666666666663,1027.85
West Bengal,2023,26.724166666666665,1245.4399999999998
West Bengal,2024,26.307499999999994,1448.5699999999997
Assam,2021,23.507500000000004,1209.3200000000002
Assam,2022,23.27,1694.0100000000002
Assam,2023,23.923333333333332,1217.82
Assam,2024,23.645833333333332,1580.87
Uttarakhand,2021,15.219999999999999,1372.32
Uttarakhand,2022,15.513333333333334,1180.1000000000001
Uttarakhand,2023,15.336666666666666,1155.45
Uttarakhand,2024,15.894166666666669,1057.43
Nagaland,2021,20.435833333333335,1332.78
Nagaland,2022,20.05666666666667,1659.1399999999999
Nagaland,2023,20.565,1566.63
Nagaland,2024,20.319166666666668,1893.9199999999998
Manipur,2021,21.580833333333334,1031.46
Manipur,2022,20.9425,1465.47
Manipur,2023,21.895833333333332,1047.74
Manipur,2024,20.96833333333333,1769.54
Mizoram,2021,22.92583333333333,2113.2900000000004
Mizoram,2022,22.62,2153.71
Mizoram,2023,23.169166666666666,2148.0899999999997
Mizoram,2024,22.834999999999997,3346.05
Tripura,2021,24.430833333333336,2395.5
Tripura,2022,24.143333333333334,2211.01
Tripura,2023,24.687499999999996,2396.02
Tripura,2024,24.38083333333333,3471.7600000000007
Meghalaya,2021,19.166666666666664,3257.4900000000002
Meghalaya,2022,18.951666666666664,4353.37
Meghalaya,2023,19.35333333333333,3693.3300000000004
Meghalaya,2024,19.102500000000003,4394.38
Punjab,2021,24.96416666666667,678.5999999999998
Punjab,2022,24.9575,899.34
Punjab,2023,23.89916666666667,1163.76
Punjab,2024,25.345833333333335,637.16
Rajasthan,2021,25.628333333333334,833.79
Rajasthan,2022,25.57166666666667,912.09
Rajasthan,2023,24.99,807.19
Rajasthan,2024,25.643333333333334,912.0500000000001
Gujarat,2021,27.550833333333333,754.9399999999999
Gujarat,2022,27.537499999999998,740.3100000000001
Gujarat,2023,27.374166666666667,832.8199999999999
Gujarat,2024,27.6375,885.0500000000001
Himachal Pradesh,2021,10.160833333333334,1008.53
Himachal Pradesh,2022,10.352500000000001,1145.58
Himachal Pradesh,2023,10.023333333333332,1223.61
Himachal Pradesh,2024,10.711666666666666,974.1899999999999
Jammu and Kashmir,2021,10.535,1125.1999999999998
Jammu and Kashmir,2022,10.805,1208.71
Jammu and Kashmir,2023,10.171666666666665,1281.0300000000002
Jammu and Kashmir,2024,10.930833333333334,1126.1999999999998
Bihar,2021,25.471666666666664,1427.2499999999998
Bihar,2022,26.1075,803.5899999999999
Bihar,2023,26.581666666666667,1111.93
Bihar,2024,26.724999999999998,865.52
Uttar Pradesh,2021,25.798333333333332,948.8500000000001
Uttar Pradesh,2022,25.840833333333332,1020.6800000000002
Uttar Pradesh,2023,25.852500000000003,787.12
Uttar Pradesh,2024,26.180000000000003,808.2100000000002
Andhra Pradesh,2021,28.14833333333333,1004.46
Andhra Pradesh,2022,27.912500000000005,1051.46
Andhra Pradesh,2023,28.73333333333333,922.6700000000001
Andhra Pradesh,2024,28.674166666666668,1077.23
Odisha,2021,25.040833333333335,1105.8
Odisha,2022,24.840000000000003,1256.3700000000001
Odisha,2023,24.87833333333333,1282.15
Odisha,2024,25.48333333333333,1247.55
Dadra and Nagar Haveli and Daman and Diu,2021,26.772499999999997,1972.8799999999999
Dadra and Nagar Haveli and Daman and Diu,2022,26.538333333333338,2284.19
Dadra and Nagar Haveli and Daman and Diu,2023,27.146666666666665,1555.12
Dadra and Nagar Haveli and Daman and Diu,2024,27.103333333333335,2121.7899999999995
Maharashtra,2021,25.87833333333334,1101.9500000000003
Maharashtra,2022,25.773333333333337,1017.1800000000001
Maharashtra,2023,26.314999999999998,694.38
Maharashtra,2024,26.66083333333334,844.45
Goa,2021,27.692499999999995,3217.45
Goa,2022,27.280833333333334,2368.9699999999993
Goa,2023,28.01,2526.23
Goa,2024,27.974166666666665,3834.7100000000005
Karnataka,2021,25.135,869.28
Karnataka,2022,25.224166666666672,932.9599999999998
Karnataka,2023,26.409166666666668,468.88000000000005
Karnataka,2024,26.3625,854.8400000000001
Kerala,2021,25.06833333333333,2415.31
