state,year,cases,health_index_2019_20,gdp_pc,seci_score,pop_2011,urban_pct_2011,density_2011,incidence_per_100k
ANDAMAN AND NICOBAR,2015,153,49.85,258151.0,29.4,380581.0,37.7,46.0,40.20169162412206
ANDAMAN AND NICOBAR,2016,92,49.85,258151.0,29.4,380581.0,37.7,46.0,24.173566205354444
ANDAMAN AND NICOBAR,2017,18,49.85,258151.0,29.4,380581.0,37.7,46.0,4.729610779308478
ANDAMAN AND NICOBAR,2018,49,49.85,258151.0,29.4,380581.0,37.7,46.0,12.875051565895301
ANDAMAN AND NICOBAR,2019,168,49.85,258151.0,29.4,380581.0,37.7,46.0,44.14303394021246
ANDAMAN AND NICOBAR,2020,98,49.85,258151.0,29.4,380581.0,37.7,46.0,25.750103131790603
ANDAMAN AND NICOBAR,2021,175,49.85,258151.0,29.4,380581.0,37.7,46.0,45.98232702105465
ANDAMAN AND NICOBAR,2022,1014,49.85,258151.0,29.4,380581.0,37.7,46.0,266.43474056771095
ANDAMAN AND NICOBAR,2023,846,49.85,258151.0,29.4,380581.0,37.7,46.0,222.29170662749848
ANDAMAN AND NICOBAR,2024,59,49.85,258151.0,29.4,380581.0,37.7,46.0,15.502613109955567
ANDHRA PRADESH,2015,3159,31.0,219881.0,41.6,49577103.0,29.47,303.0,6.371893089436872
ANDHRA PRADESH,2016,3417,31.0,219881.0,41.6,49577103.0,29.47,303.0,6.892294614310159
ANDHRA PRADESH,2017,4925,31.0,219881.0,41.6,49577103.0,29.47,303.0,9.93402135659278
ANDHRA PRADESH,2018,4011,31.0,219881.0,41.6,49577103.0,29.47,303.0,8.090428357623075
ANDHRA PRADESH,2019,5286,31.0,219881.0,41.6,49577103.0,29.47,303.0,10.662180079380596
ANDHRA PRADESH,2020,925,31.0,219881.0,41.6,49577103.0,29.47,303.0,1.865780660882908
ANDHRA PRADESH,2021,4760,31.0,219881.0,41.6,49577103.0,29.47,303.0,9.601206427894748
ANDHRA PRADESH,2022,6391,31.0,219881.0,41.6,49577103.0,29.47,303.0,12.89103157157045
ANDHRA PRADESH,2023,6453,31.0,219881.0,41.6,49577103.0,29.47,303.0,13.016089302353953
ANDHRA PRADESH,2024,5555,31.0,219881.0,41.6,49577103.0,29.47,303.0,11.204769266167085
ARUNACHAL PRADESH,2015,1933,55.53,199992.0,27.0,1383727.0,22.94,17.0,139.69518553876594
ARUNACHAL PRADESH,2016,13,55.53,199992.0,27.0,1383727.0,22.94,17.0,0.9394916771877689
ARUNACHAL PRADESH,2017,18,55.53,199992.0,27.0,1383727.0,22.94,17.0,1.3008346299522955
ARUNACHAL PRADESH,2018,1,55.53,199992.0,27.0,1383727.0,22.94,17.0,0.0722685905529053
ARUNACHAL PRADESH,2019,123,55.53,199992.0,27.0,1383727.0,22.94,17.0,8.889036638007353
ARUNACHAL PRADESH,2020,1,55.53,199992.0,27.0,1383727.0,22.94,17.0,0.0722685905529053
ARUNACHAL PRADESH,2021,7,55.53,199992.0,27.0,1383727.0,22.94,17.0,0.5058801338703371
ARUNACHAL PRADESH,2022,114,55.53,199992.0,27.0,1383727.0,22.94,17.0,8.238619323031205
ARUNACHAL PRADESH,2023,130,55.53,199992.0,27.0,1383727.0,22.94,17.0,9.39491677187769
ARUNACHAL PRADESH,2024,20,55.53,199992.0,27.0,1383727.0,22.94,17.0,1.4453718110581062
ASSAM,2015,1076,63.59,119308.0,42.6,31205576.0,14.1,398.0,3.4481017110531784
ASSAM,2016,6157,63.59,119308.0,42.6,31205576.0,14.1,398.0,19.73044817374946
ASSAM,2017,5024,63.59,119308.0,42.6,31205576.0,14.1,398.0,16.09968679956428
ASSAM,2018,166,63.59,119308.0,42.6,31205576.0,14.1,398.0,0.5319562119282785
ASSAM,2019,196,63.59,119308.0,42.6,31205576.0,14.1,398.0,0.6280928767345938
ASSAM,2020,33,63.59,119308.0,42.6,31205576.0,14.1,398.0,0.10575033128694691
ASSAM,2021,103,63.59,119308.0,42.6,31205576.0,14.1,398.0,0.33006921583501614
ASSAM,2022,1826,63.59,119308.0,42.6,31205576.0,14.1,398.0,5.851518331211063
ASSAM,2023,8208,63.59,119308.0,42.6,31205576.0,14.1,398.0,26.302991491007887
ASSAM,2024,2271,63.59,119308.0,42.6,31205576.0,14.1,398.0,7.277545525838074
BIHAR,2015,1771,72.42,60637.0,38.3,104099452.0,11.29,1102.0,1.7012577549399588
BIHAR,2016,1912,72.42,60637.0,38.3,104099452.0,11.29,1102.0,1.836705153836929
BIHAR,2017,1854,72.42,60637.0,38.3,104099452.0,11.29,1102.0,1.780989202517608
BIHAR,2018,2142,72.42,60637.0,38.3,104099452.0,11.29,1102.0,2.057647719413547
BIHAR,2019,6712,72.42,60637.0,38.3,104099452.0,11.29,1102.0,6.447680435435914
BIHAR,2020,493,72.42,60637.0,38.3,104099452.0,11.29,1102.0,0.4735855862142291
BIHAR,2021,633,72.42,60637.0,38.3,104099452.0,11.29,1102.0,0.6080723652608662
BIHAR,2022,13972,72.42,60637.0,38.3,104099452.0,11.29,1102.0,13.421780548854379
BIHAR,2023,20224,72.42,60637.0,38.3,104099452.0,11.29,1102.0,19.427575853137057
BIHAR,2024,10157,72.42,60637.0,38.3,104099452.0,11.29,1102.0,9.75701581983352
CHANDIGARH,2015,966,47.0,399654.0,55.7,1055450.0,97.25,9252.0,91.52494196788099
CHANDIGARH,2016,1246,47.0,399654.0,55.7,1055450.0,97.25,9252.0,118.0539106542233
CHANDIGARH,2017,1125,47.0,399654.0,55.7,1055450.0,97.25,9252.0,106.58960632905395
CHANDIGARH,2018,301,47.0,399654.0,55.7,1055450.0,97.25,9252.0,28.51864133781799
CHANDIGARH,2019,286,47.0,399654.0,55.7,1055450.0,97.25,9252.0,27.097446586763937
CHANDIGARH,2020,265,47.0,399654.0,55.7,1055450.0,97.25,9252.0,25.107773935288265
CHANDIGARH,2021,1596,47.0,399654.0,55.7,1055450.0,97.25,9252.0,151.2151215121512
CHANDIGARH,2022,910,47.0,399654.0,55.7,1055450.0,97.25,9252.0,86.21914823061253
CHANDIGARH,2023,454,47.0,399654.0,55.7,1055450.0,97.25,9252.0,43.01482779856933
CHANDIGARH,2024,349,47.0,399654.0,55.7,1055450.0,97.25,9252.0,33.06646454119096
CHHATTISGARH,2015,384,63.17,137329.0,31.7,25545198.0,23.24,189.0,1.503217943348883
CHHATTISGARH,2016,356,63.17,137329.0,31.7,25545198.0,23.24,189.0,1.3936083016463603
CHHATTISGARH,2017,444,63.17,137329.0,31.7,25545198.0,23.24,189.0,1.738095746997146
CHHATTISGARH,2018,2674,63.17,137329.0,31.7,25545198.0,23.24,189.0,10.46772078259092
CHHATTISGARH,2019,722,63.17,137329.0,31.7,25545198.0,23.24,189.0,2.8263629039007645
CHHATTISGARH,2020,57,63.17,137329.0,31.7,25545198.0,23.24,189.0,0.22313391346584982
