state,health_index_2019_20
Kerala,82.2
Bihar,72.42
Himachal Pradesh,69.96
Punjab,69.95
Tamil Nadu,69.14
Assam,63.59
Chhattisgarh,63.17
Odisha,58.08
Maharashtra,57.93
Uttar Pradesh,50.7
Karnataka,49.26
Madhya Pradesh,47.74
Telangana,47.55
Haryana,44.31
Gujarat,44.21
Rajasthan,41.33
Jharkhand,36.72
Andhra Pradesh,31.0
Uttarakhand,30.57
Nagaland,75.77
Mizoram,70.16
Arunachal Pradesh,55.53
Manipur,53.68
Meghalaya,43.05
Goa,34.26
Sikkim,33.91
Tripura,27.0
Jammu and Kashmir,44.74
Chandigarh,47.0
Andaman and Nicobar,49.85
Dadra and Nagar Haveli and Daman and Diu,50.83
Delhi,51.88
Lakshadweep,62.53
Puducherry,66.19
