state,mean_cases,cumulative_cases,mean_incidence,health_index,gdp_pc,seci,urban_pct,density,imputed
ANDAMAN AND NICOBAR,267.2,2672,70.20844445729031,49.85,258151.0,29.4,37.7,46.0,0
ANDHRA PRADESH,4488.2,44882,9.052969472621262,31.0,219881.0,41.6,29.47,303.0,0
ARUNACHAL PRADESH,236.0,2360,17.05538737048565,55.53,199992.0,27.0,22.94,17.0,0
ASSAM,2506.0,25060,8.030616066820878,63.59,119308.0,42.6,14.1,398.0,0
BIHAR,5987.0,59870,5.751231043944401,72.42,60637.0,38.3,11.29,1102.0,0
CHANDIGARH,749.8,7498,71.04078828935525,47.0,399654.0,55.7,97.25,9252.0,0
CHHATTISGARH,1433.7,14337,5.612405118175245,63.17,137329.0,31.7,23.24,189.0,0
DELHI,9377.4,93774,55.85795184769829,51.88,430120.0,55.6,97.5,11297.0,0
GOA,455.2,4552,31.209184495507508,34.26,492648.0,51.4,62.17,394.0,0
GUJARAT,7851.1,78511,12.989973542552136,44.21,272451.0,50.1,42.6,308.0,0
HARYANA,5682.7,56827,22.415669755061856,44.31,296592.0,47.9,34.88,573.0,0
HIMACHAL PRADESH,1485.3,14853,21.637088355595854,69.96,218788.0,45.4,10.03,123.0,0
JAMMU AND KASHMIR,2468.3,24683,20.121411601437085,44.74,130492.0,29.3,26.11,297.0,0
JHARKHAND,720.9,7209,2.185331246684035,36.72,99288.0,35.2,24.05,414.0,0
KARNATAKA,12370.8,123708,20.248367071527618,49.26,304474.0,43.8,38.67,319.0,0
KERALA,9042.5,90425,27.06844126279959,82.2,252662.0,49.1,47.7,859.0,0
MADHYA PRADESH,5353.8,53538,7.371658033330364,47.74,132010.0,32.6,27.63,236.0,0
MAHARASHTRA,10854.8,108548,9.659501160287197,57.93,252389.0,46.0,45.22,365.0,0
MANIPUR,642.3,6423,24.98842588089745,53.68,111853.0,36.0,30.21,122.0,0
MEGHALAYA,71.0,710,2.393079080477901,43.05,123896.0,29.4,20.07,132.0,0
MIZORAM,569.1,5691,51.86810863228965,70.16,215144.0,35.9,52.11,52.0,0
NAGALAND,606.1,6061,30.634287961295968,75.77,145537.0,27.9,28.86,119.0,0
ODISHA,6178.8,61788,14.720464483210515,58.08,143768.0,37.1,16.69,269.0,0
PUDUCHERRY,1730.0,17300,138.62701560074777,66.19,245180.0,48.5,68.33,2598.0,0
PUNJAB,12803.5,128035,46.149818021176834,69.95,181678.0,48.6,37.48,551.0,0
RAJASTHAN,10375.6,103756,15.136158392641397,41.33,150653.0,35.4,24.87,201.0,0
SIKKIM,238.2,2382,39.0122785496342,33.91,520466.0,33.3,25.15,86.0,0
TAMIL NADU,9475.1,94751,13.133042344224013,69.14,277802.0,43.4,48.4,555.0,0
TELANGANA,6553.3,65533,18.72174903697252,47.55,312522.0,41.9,38.88,312.0,0
TRIPURA,355.7,3557,9.68176472141314,27.0,157364.0,45.0,26.17,350.0,0
UTTAR PRADESH,13995.9,139959,7.0045223082592285,50.7,96193.0,41.0,22.27,828.0,0
UTTARAKHAND,2392.6,23926,23.72130412246641,30.57,230994.0,46.5,30.23,189.0,0
