model,state,mae_log,n
Gradient boosting (multi-modal),ANDAMAN AND NICOBAR,1.6603443098386645,7.0
Gradient boosting (multi-modal),ANDHRA PRADESH,0.545224484048709,7.0
Gradient boosting (multi-modal),ARUNACHAL PRADESH,1.7354550299887923,7.0
Gradient boosting (multi-modal),ASSAM,1.7650149757946632,7.0
Gradient boosting (multi-modal),BIHAR,1.3848967887144799,7.0
Gradient boosting (multi-modal),CHANDIGARH,0.828092888599288,7.0
Gradient boosting (multi-modal),CHHATTISGARH,1.5469461843311716,7.0
Gradient boosting (multi-modal),DADRA AND NAGAR HAVELI,0.7844859566774662,7.0
Gradient boosting (multi-modal),DAMAN AND DIU,0.6838210000104381,7.0
Gradient boosting (multi-modal),DELHI,0.8169016070555376,7.0
Gradient boosting (multi-modal),GOA,0.4839257331303354,7.0
Gradient boosting (multi-modal),GUJARAT,0.5089036085695654,7.0
Gradient boosting (multi-modal),HARYANA,0.9235810559119987,7.0
Gradient boosting (multi-modal),HIMACHAL PRADESH,2.1719725392850266,7.0
Gradient boosting (multi-modal),JAMMU AND KASHMIR,2.056959014451331,7.0
Gradient boosting (multi-modal),JHARKHAND,1.1139705131694841,7.0
Gradient boosting (multi-modal),KARNATAKA,0.892055096517028,7.0
Gradient boosting (multi-modal),KERALA,0.8493791363584425,7.0
Gradient boosting (multi-modal),LAKSHADWEEP,1.2183322506246792,7.0
Gradient boosting (multi-modal),MADHYA PRADESH,0.8150542936359886,7.0
Gradient boosting (multi-modal),MAHARASHTRA,0.7367035813023305,7.0
Gradient boosting (multi-modal),MANIPUR,1.6734642945763103,7.0
Gradient boosting (multi-modal),MEGHALAYA,1.1785028323276248,7.0
Gradient boosting (multi-modal),MIZORAM,1.034408578227366,7.0
Gradient boosting (multi-modal),NAGALAND,2.9329050844634845,7.0
Gradient boosting (multi-modal),ODISHA,1.4000724421336768,7.0
Gradient boosting (multi-modal),PUDUCHERRY,0.7626612059337357,7.0
Gradient boosting (multi-modal),PUNJAB,0.4635299985497309,7.0
Gradient boosting (multi-modal),RAJASTHAN,0.8213804619368504,7.0
Gradient boosting (multi-modal),SIKKIM,1.3211653984090699,7.0
Gradient boosting (multi-modal),TAMIL NADU,0.6891103105912271,7.0
Gradient boosting (multi-modal),TELANGANA,0.6054574108607638,7.0
Gradient boosting (multi-modal),TRIPURA,1.2057629206385165,7.0
Gradient boosting (multi-modal),UTTAR PRADESH,0.9428101423144787,7.0
Gradient boosting (multi-modal),UTTARAKHAND,1.6602471658431963,7.0
Persistence (previous year),ANDAMAN AND NICOBAR,1.125151710162886,7.0
Persistence (previous year),ANDHRA PRADESH,0.6163904807207073,7.0
Persistence (previous year),ARUNACHAL PRADESH,2.359755085259373,7.0
Persistence (previous year),ASSAM,1.7282052173132727,7.0
Persistence (previous year),BIHAR,1.1851748672789022,7.0
Persistence (previous year),CHANDIGARH,0.6790379047261148,7.0
Persistence (previous year),CHHATTISGARH,1.4202418597452782,7.0
Persistence (previous year),DADRA AND NAGAR HAVELI,0.9931547375329822,7.0
