state,seci_score
Gujarat,50.1
Kerala,49.1
Punjab,48.6
Haryana,47.9
Uttarakhand,46.5
Maharashtra,46.0
Himachal Pradesh,45.4
Karnataka,43.8
Tamil Nadu,43.4
Assam,42.6
Telangana,41.9
Andhra Pradesh,41.6
Uttar Pradesh,41.0
West Bengal,38.9
Bihar,38.3
Odisha,37.1
Rajasthan,35.4
Jharkhand,35.2
Madhya Pradesh,32.6
Chhattisgarh,31.7
Goa,51.4
Tripura,45.0
Manipur,36.0
Mizoram,35.9
Sikkim,33.3
Meghalaya,29.4
Nagaland,27.9
Arunachal Pradesh,27.0
Chandigarh,55.7
Delhi,55.6
Dadra and Nagar Haveli and Daman and Diu,53.2
Puducherry,48.5
Andaman and Nicobar,29.4
Jammu and Kashmir,29.3
Lakshadweep,26.9
